Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Varicose veins,fatigue:1,cramps:1,bruising:1,obesity:1,swollen_legs:1,swollen_blood_vessels:1,prominent_veins_on_calf:1,,,,,,,,,,
Hypothyroidism,fatigue:1,weight_gain:1,cold_hands_and_feets:1,mood_swings:1,lethargy:1,dizziness:1,puffy_face_and_eyes:1,enlarged_thyroid:1,brittle_nails:1,swollen_extremeties:1,depression:1,irritability:1,abnormal_menstruation:1,,,,
Hypoglycemia,vomiting:2,fatigue:1,anxiety:1,sweating:1,headache:1,nausea:1,blurred_and_distorted_vision:2,excessive_hunger:1,drying_and_tingling_lips:1,slurred_speech:1,irritability:1,palpitations:1,,,,,
Osteoarthristis,joint_pain:1,neck_pain:1,knee_pain:1,hip_joint_pain:1,swelling_joints:1,painful_walking:1,,,,,,,,,,,
Arthritis,muscle_weakness:1,stiff_neck:1,swelling_joints:1,movement_stiffness:1,painful_walking:1,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting:2,headache:1,nausea:1,spinning_movements:1,loss_of_balance:1,unsteadiness:1,,,,,,,,,,,
Acne,skin_rash:1,pus_filled_pimples:1,blackheads:1,scurring:1,,,,,,,,,,,,,
Urinary tract infection,burning_micturition:1,bladder_discomfort:1,foul_smell_of urine:1,continuous_feel_of_urine:1,,,,,,,,,,,,,
Psoriasis,skin_rash:1,joint_pain:1,skin_peeling:1,silver_like_dusting:1,small_dents_in_nails:1,inflammatory_nails:1,,,,,,,,,,,
Impetigo,skin_rash:1,high_fever:2,blister:1,red_sore_around_nose:1,yellow_crust_ooze:1,,,,,,,,,,,,
